Mumbai Indians - 1st innings,,,,,,,,,,,,
M Morkel,2,3,0,0,2,0,1,0,,17,8,212.5
SP Narine,8,5,1,0,2,0,0,0,,15,16,93.75
KC Cariappa,2,2,0,0,1,0,1,0,,12,6,200
AD Russell,0,2,0,0,1,0,0,0,,6,3,200
YK Pathan,2,7,0,0,1,0,2,0,,23,12,191.66
PP Chawla,1,2,0,0,0,0,1,0,,8,4,200
Shakib Al Hasan,2,3,0,0,0,0,2,0,,15,7,214.28
"V Kohli - 2nd innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
M Morkel,8,1,0,1,0,0,1,0,caught,10,11,90.9
SP Narine,1,3,0,0,0,0,0,0,,3,4,75
"KD Karthik - 2nd innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
M Morkel,1,0,0,0,0,0,0,0,,0,1,0
KC Cariappa,0,1,0,0,0,0,0,0,,1,1,100
AD Russell,3,1,0,0,1,0,0,0,,5,5,100
YK Pathan,1,0,0,0,0,0,0,0,bowled,0,1,0
"Mandeep Singh - 2nd innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
YK Pathan,2,0,0,0,0,0,1,0,bowled,6,3,200
"AB de Villiers - 2nd innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
KC Cariappa,1,1,0,0,2,0,1,0,stumped,15,5,300
AD Russell,2,1,0,0,1,0,0,0,,5,4,125
YK Pathan,1,2,0,0,0,0,1,0,,8,4,200
"DJG Sammy - 2nd innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
SP Narine,0,2,0,0,0,0,0,0,,2,2,100
YK Pathan,0,2,0,0,0,0,0,0,,2,2,100
PP Chawla,0,2,0,0,0,0,0,0,,2,2,100
Shakib Al Hasan,2,1,0,0,0,0,0,0,stumped,1,3,33.33
